iter	RMSE
989	1.164397776
990	1.162945227
991	1.162672253
992	1.161817996
993	1.161032048
994	1.160256851
995	1.15952104
996	1.158830107
997	1.158737389
998	1.158470818
999	1.158450036
